notice-identifier,dps-usage-lot,notice-type,publication-number,procedure-accelerated,legal-basis,organisation-country-buyer,estimated-value-cur-lot,procedure-identifier,estimated-value-cur-proc,total-value,winner-size,winner-owner-nationality,winner-selection-status,legal-basis-proc,direct-award-justification-text-proc.lit,direct-award-justification-text-proc.eng,direct-award-justification-proc,framework-buyer-categories-lot.hrv,exclusion-grounds,accessibility-lot,legal-basis-text.ces,no-negocaition-necessary-lot,direct-award-justification-text-proc.fra,framework-value-notice,legal-basis-text.pol,legal-basis-text.deu,framework-buyer-categories-lot.nld,subcontracting-percentage,ipi-measures-applicable-lot,direct-award-justification-text-proc.nld,direct-award-justification-text-proc.pol,framework-buyer-categories-lot.deu,subcontracting-value,direct-award-justification-text-proc.slv,direct-award-justification-text-proc.ita,direct-award-justification-text-proc.spa,currency,total-value-eur,total-value-eur-capped,is_outlier,total-value-eur-log,bidder-count,primary-bidder-size,bidder-size-numeric,notice_is_cn-standard,notice_is_can-standard,notice_is_veat,notice_is_pin-only,notice_is_cn-social,notice_is_can-modif,notice_is_pin-cfc-standard,notice_is_cn-desg,notice_is_can-social,notice_is_pin-buyer
696363f7-b17d-4c95-8360-33582c9912da,,pin-only,258238-2025,,32014L0024,NLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,0,0,0,1,0,0,0,0,0,0
10dcdf8b-c53b-4c7d-b5ff-6373a66c3ea7,none,cn-standard,258240-2025,,32014L0024,DEU,,7320a020-05a2-4cfb-8502-b2d404a9b0cf,,,,,,vgv,,,,,bankr-nat|bankruptcy|corruption|bankr-nat|crime-org|distorsion|envir-law|finan-laund|fraud|human-traffic|insolvency|labour-law|bankruptcy|misrepresent|nati-ground|partic-confl|prep-confl|prof-misconduct|sanction|socsec-law|socsec-pay|susp-act|tax-pay|terr-offence,,,True,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0,0
a8c893bc-b190-40ba-bfe1-a71908ce0288,none|none|none|none,cn-standard,258241-2025,False,32014L0024,POL,,2dcc23a5-8f60-4632-8da4-98290efae4af,,,,,,,,,,,exg-mis-prep-confl|exg-crim-corrpt|exg-crim-fraud|exg-mis-bre-lab-law|exg-pmt-bre-tax|exg-pmt-bre-ssc|exg-natl-bre-nat-law|exg-mis-distortion|exg-crim-traffick|exg-crim-laund|exg-crim-terror|exg-crim-part|exg-sitn-liq-admin|exg-sitn-as-susp|exg-sitn-other|exg-sitn-insolvency|exg-sitn-cred-arran|exg-sitn-bankr|exg-mis-bre-env-law,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0,0
495faa6c-7e11-4ac1-87ba-85ccbaa17623,none,can-standard,258245-2025,False,32014L0024,FRA,,d60fa9c8-aaf7-4520-96f4-0c236ab4528f,EUR,1600000.0,large,FRA,selec-w,,,,,,,,,,,,,,,,,,,,,,,,EUR,1600000.0,1600000.0,False,14.285514812209815,1,large,4.0,0,1,0,0,0,0,0,0,0,0
dce89518-b2ae-4afc-a0eb-7be639958789,none,cn-standard,258246-2025,False,32014L0025,AUT,,777ce779-a9cd-4bb0-aa41-b3af170033b8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0,0
12e6d255-2c90-429a-92d9-141c90fde55d,none|none,cn-standard,258248-2025,,32014L0024,FRA,EUR,22b4f7e7-61a7-45d9-930d-4264daa36204,EUR,882000.0,,,,,,,,,nati-ground,,,,,,,,,,,,,,,,,,EUR,882000.0,882000.0,False,13.689948468775134,0,,,1,0,0,0,0,0,0,0,0,0
813b6e9c-2ea8-4e06-9c40-16f7cf0d3c9f,none,cn-standard,258249-2025,False,32014L0024,FRA,,e6d56bd3-9096-4b90-a084-41cda53be3de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0,0
176cc436-b3e9-44ba-a0cc-42e6e41a4fd7,none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none,cn-standard,258251-2025,False,32014L0024,POL,,3351a83d-c1b1-42ed-894d-3884001447d0,,,,,,,,,,,exg-sitn-liq-admin|exg-mis-prep-confl|exg-sitn-as-susp|exg-sitn-other|exg-crim-corrpt|exg-crim-fraud|exg-mis-bre-lab-law|exg-sitn-insolvency|exg-pmt-bre-ssc|exg-pmt-bre-tax|exg-natl-bre-nat-law|exg-mis-distortion|exg-crim-traffick|exg-crim-laund|exg-crim-terror|exg-crim-part|exg-sitn-cred-arran|exg-sitn-bankr,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0,0
d63d9092-702d-45f2-b64b-61a7a4b9a25e,none|none|none,cn-standard,258254-2025,False,32014L0024,NLD,,24d4a646-2b6d-47d4-a602-4341d0861ae8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0,0
d588af5b-a430-49cd-8d1c-b403e3ced9a5,none,cn-standard,258255-2025,False,32014L0024,FRA,,36ca113e-b5f9-466d-b4ed-f316151a241b,,,,,,,,,,,nati-ground,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0,0
5f20ce28-95d5-4c63-92b9-6a697ef4292a,none,cn-standard,258256-2025,,32014L0024,AUT,,0b86bcc5-90e5-42a3-bbe9-60c35c730491,,,,,,,,,,,bankr-nat|bankruptcy|corruption|crime-org|distorsion|envir-law|finan-laund|fraud|human-traffic|insolvency|labour-law|partic-confl|prep-confl|prof-misconduct|sanction|socsec-law|socsec-pay|susp-act|tax-pay|terr-offence,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0,0
9ecb8784-cda1-4187-aa60-e2e3973cf777,none,can-standard,258257-2025,False,32014L0024,DEU,,7a11d84a-9f36-4f39-ae3f-984a512905df,,419665.35,small,DEU,selec-w,vob-a-eu,,,,,,,,,,,,,,,,,,,,,,,EUR,419665.35,419665.35,False,12.947215269790973,1,small,2.0,0,1,0,0,0,0,0,0,0,0
8db64bc9-eff2-4af9-a018-799620aeeb6e,none,can-standard,258258-2025,,other,ITA,EUR,e3df1fec-3f27-4081-a333-23c2ccc19705,EUR,2828913.3,,,selec-w,,,,,,,,,,,,,,,,,,,,,,,,EUR,2828913.3,2828913.3,False,14.85540355643496,0,,,0,1,0,0,0,0,0,0,0,0
87414f4f-c722-426c-9e1c-91bda4c84f0b,none,cn-standard,258259-2025,False,32014L0024,POL,,c5954771-5b7a-4935-9c75-9ffa3d695070,PLN,10585737.96,,,,,,,,,,inc,,,,,,,,,,,,,,,,,PLN,2434719.7308000005,2434719.7308000005,False,14.705342618311615,0,,,1,0,0,0,0,0,0,0,0,0
d5dd553b-9e53-49f3-a1a3-3af3b7321565,,cn-social,258260-2025,,32014L0024,ITA,EUR,48fad48d-255f-4011-8055-3b462f7850ee,EUR,22841700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,22841700.0,22841700.0,False,16.944098414584943,0,,,0,0,0,0,1,0,0,0,0,0
fc22adbd-08b8-4c86-b973-63610054df51,,can-standard,258261-2025,,32014L0023,FRA,,b0368a26-a272-4061-b552-e01893619610,,121176.52,sme,FRA,selec-w,,,,,,,,,,,,,,,,,,,,,,,,EUR,121176.52,121176.52,False,11.705011856866223,1,sme,2.5,0,1,0,0,0,0,0,0,0,0
3f280a0d-f841-4e42-a20d-b829c6780399,none,cn-standard,258262-2025,False,32014L0024,POL,,0f9e96ec-1d9f-4ef2-8c9b-994fbddc6b52,,,,,,"Postępowanie o udzielenie zamówienia publicznego prowadzone jest w trybie przetargu nieograniczonego, na podstawie art. 132 ustawy z dnia 11 września 2019 r. – Prawo zamówień publicznych (Dz. U. z 2024, poz. 1320), zwanej dalej ustawą Pzp.",,,,,,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0,0
22a2957a-9893-48e4-a086-95d64794f9d5,none,can-standard,258263-2025,,32014L0024,CHE,,be4089dc-0381-45c9-afa3-f28ce530306a,,1060459.92,small,,selec-w,,,,,,,,,,,,,,,,,,,,,,,,EUR,1060459.92,1060459.92,False,13.87421420176568,1,small,2.0,0,1,0,0,0,0,0,0,0,0
c7027cdd-9592-4050-afff-7c9dae230f81,none,pin-cfc-standard,258264-2025,,32014L0024,FRA,,2dd74d2b-675b-473b-a7cf-96beea92272e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,0,0,0,0,0,0,1,0,0,0
68f169f5-6a39-43a5-8cc1-b142b9745c9b,none,cn-social,258265-2025,,32014L0024,LTU,,dacadbfb-fab3-4666-bd70-66055d222558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,0,0,0,0,1,0,0,0,0,0
3195b34f-ada6-4cc4-bde4-820bb30679fc,none,cn-standard,258266-2025,False,32014L0024,POL,,d9dcc07a-1742-4e82-83d1-384aeac42f83,,,,,,"Postępowanie o udzielenie zamówienia publicznego prowadzone jest w trybie przetargu nieograniczonego, zgodnie z ustawą z dnia 11 września 2019 r. - Prawo zamówień publicznych (t.j.: Dz. U. z 2024 r., poz. 1320), zwaną w dalszej części „ustawą Pzp”",,,,,exg-sitn-liq-admin|exg-mis-prep-confl|exg-sitn-as-susp|exg-sitn-other|exg-crim-corrpt|exg-crim-fraud|exg-mis-bre-lab-law|exg-sitn-insolvency|exg-pmt-bre-ssc|exg-pmt-bre-tax|exg-natl-bre-nat-law|exg-mis-distortion|exg-crim-traffick|exg-crim-laund|exg-crim-terror|exg-crim-part|exg-sitn-cred-arran|exg-sitn-bankr,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0,0
fa2d289d-61a0-4d89-804b-34dd8485be3d,none,cn-standard,258267-2025,False,32014L0024,DEU,,263c26ca-a71f-410f-b476-5b08ac7e6972,EUR,600000.0,,,,vgv,,,,,exg-natl-bre-nat-law|exg-crim-part|exg-crim-terror|exg-crim-laund|exg-crim-fraud|exg-crim-corrpt|exg-crim-traffick|exg-pmt-bre-tax|exg-pmt-bre-ssc|exg-mis-bre-env-law|exg-mis-bre-soc-law|exg-mis-bre-lab-law|exg-sitn-insolvency|exg-sitn-liq-admin|exg-sitn-as-susp|exg-sitn-other|exg-mis-misconduct|exg-mis-distortion|exg-mis-partic-confl|exg-mis-prep-confl|exg-mis-sanction|exg-mis-misrepresent,,,,,,,,,,,,,,,,,,EUR,600000.0,600000.0,False,13.304686600863562,0,,,1,0,0,0,0,0,0,0,0,0
faf6ec43-9154-4d6c-a2ec-d03b9658d277,none,cn-standard,258268-2025,False,32014L0024,IRL,EUR,4154f8b1-235f-4e6b-844b-bf5bcaec09d2,EUR,255000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,255000.0,255000.0,False,12.449022745701502,0,,,1,0,0,0,0,0,0,0,0,0
8bbaa165-402e-479a-bbfe-aa798180b80b,none,can-standard,258269-2025,,32014L0024,FRA,,24810ca8-59bf-424e-b084-88c40e51134f,,43100.0,sme,FRA,selec-w,,,,below-thres,,,,,,"[""marché relevant de l'article L2511-1 du code de la commande publique; ce contrat est conclu sans concurrence avec la société publique locale Cenovia Cites afin de lui accorder un marché de mandat de maitrise d'ouvrage""]",,,,,,,,,,,,,,EUR,43100.0,43100.0,False,10.67130147767883,1,sme,2.5,0,1,0,0,0,0,0,0,0,0
dcde36bf-e4eb-4067-b019-76ec5f4d7110,none,can-standard,258270-2025,,32014L0024,ROU,,78553dbf-5ab8-4bb0-8c39-144d1478e83f,,902261.33,medium|large|medium|medium|medium|medium|small|medium|medium|small|small,,selec-w,,,,,,,,,,,5000000.0,,,,,,,,,,,,,EUR,902261.33,902261.33,False,13.71266058824707,11,medium,3.0,0,1,0,0,0,0,0,0,0,0
fb3fa013-30fd-4df6-adc0-86cc8da6daf5,none,cn-standard,258272-2025,False,32014L0024,SWE,SEK,a871c123-aa60-4301-a245-19faf08f80f8,SEK,2500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,SEK,217499.99999999997,217499.99999999997,False,12.289958727201455,0,,,1,0,0,0,0,0,0,0,0,0
f3893e4d-47ce-4345-a1cc-a4d823323177,none,cn-standard,258274-2025,,32014L0024,FRA,,f3ae33f5-2c5a-4098-9814-99f2224e807f,,,,,,,,,,,nati-ground,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0,0
31863b08-1f86-45c4-9412-254fcf040967,none|none,can-standard,258275-2025,,32014L0024,FRA,,ee415852-055b-4f3d-bc91-6872b8433584,,595500.0,,,selec-w|selec-w,,,,,,,,,,,595500.0,,,,,,,,,,,,,EUR,595500.0,595500.0,False,13.297158347037207,0,,,0,1,0,0,0,0,0,0,0,0
12cab117-c289-46af-8b0b-0c5a7253055c,none|none|none|none|none|none,can-standard,258277-2025,,32014L0024,HRV|HRV|HRV,EUR,31bda629-e703-40ea-a137-a7ce9c503eea,EUR,321292.0,large|large,,selec-w|selec-w|selec-w|selec-w|selec-w|selec-w,,,,,,,n-inc|n-inc|n-inc|n-inc|n-inc|n-inc,,,,,,,,,,,,,,,,,EUR,321292.0,321292.0,False,12.680108758374246,2,large,4.0,0,1,0,0,0,0,0,0,0,0
1186f1f3-a0ca-4a30-812e-a185f62049ed,none|none|none|none,cn-standard,258278-2025,False,32014L0024,POL,,b4e0c64b-9b8b-4883-8f6c-576db88ad1f2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0,0
63b68450-b2fd-4cda-a2a4-f118ddd31013,none|none|none,cn-standard,258279-2025,False,32014L0025,POL,,52f5b127-1af9-4c67-9ea4-9444ba1d79ae,,,,,,art. 132 – 139 w zw. z art. 378 ust. 1 oraz art. 2 ust. 1 pkt 2,,,,,exg-natl-bre-nat-law|exg-sitn-liq-admin|exg-mis-prep-confl|exg-sitn-as-susp|exg-sitn-other|exg-crim-corrpt|exg-crim-fraud|exg-mis-bre-lab-law|exg-sitn-insolvency|exg-pmt-bre-tax|exg-pmt-bre-ssc|exg-mis-distortion|exg-crim-traffick|exg-crim-laund|exg-crim-terror|exg-crim-part|exg-sitn-cred-arran|exg-sitn-bankr|exg-mis-misconduct|exg-mis-misrepresent,inc|inc,,,,,['ustawa Prawo zamówień publicznych - przetarg nieograniczony'],,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0,0
da663abe-91e9-46db-abec-48af18ae34d8,none,cn-standard,258280-2025,False,32014L0024,FRA,EUR,8ca0f315-78d6-4bac-a726-4d515e18ad53,EUR,988400.0,,,,,,,,,nati-ground,,,False,,,,,,,,,,,,,,,EUR,988400.0,988400.0,False,13.80384376483222,0,,,1,0,0,0,0,0,0,0,0,0
f8967c5c-5f0d-49a3-b174-183ce88bba1d,none|none,can-standard,258281-2025,False,32014L0024,DEU,EUR,d5819634-7253-4410-99cf-c0fae763e8db,,213085.12,small,DEU,selec-w|selec-w,vgv,,,,,,,,,,,,,,,,,,,,,,,EUR,213085.12,213085.12,False,12.269451682225386,1,small,2.0,0,1,0,0,0,0,0,0,0,0
2bd004fc-419e-47a0-aa0b-312d64a45e6a,none,cn-standard,258282-2025,False,32014L0024,FRA,,60208812-5731-4858-a33c-0b1cdba19982,,,,,,,,,,,nati-ground,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0,0
382184de-fb3e-4300-8b3c-8b5291c6510f,none,can-standard,258283-2025,,32014L0025,CHE,,dcfcd081-8fb6-4477-85cf-dc4a5152136e,,395000.0,large,,selec-w,,,,,,,,,,,,,,,,,,,,,,,,EUR,395000.0,395000.0,False,12.886643575525625,1,large,4.0,0,1,0,0,0,0,0,0,0,0
e3abe8d4-41b7-453b-a1c8-32ddda2880cf,none,cn-standard,258286-2025,,32014L0024,DEU,,f3da5f7d-7341-4f99-94d3-a2913dec4a9c,,,,,,vob-a-eu,,,,,nati-ground,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0,0,0
5b829053-c48f-45b9-9aaa-94c2cadef6bb,none|none|none,cn-standard,258287-2025,False,32014L0025,DEU,,b741cf17-1dd6-48ca-a32a-7878ef97f0ad,EUR,1.0,,,,sektvo,,,,,exg-natl-bre-nat-law,,,,,,,,,,,,,,,,,,EUR,1.0,1.0,False,0.6931471805599453,0,,,1,0,0,0,0,0,0,0,0,0
ff62996d-3604-479c-8b50-5a61057a603d,,cn-social,258289-2025,,32014L0024,FRA,,59e3b86e-7d23-47f5-9a7f-2b63348b4550,,,,,,,,,,,nati-ground,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,0,0,0,0,1,0,0,0,0,0
d73ae6e2-51f2-41f8-8759-e13071b699c4,none,can-standard,258290-2025,False,32014L0024,FRA,,eae1c786-ca63-4ca3-8a09-714e88000346,EUR,125655.0,large,FRA,selec-w,,,,,,,,,,,,,,,,,,,,,,,,EUR,125655.0,125655.0,False,11.741303293522869,1,large,4.0,0,1,0,0,0,0,0,0,0,0
84992f48-5419-4421-bdf8-ccee03476d2f,none|none|none|none|none|none|none|none,can-standard,258291-2025,False,32014L0024,POL,,fa5cdd87-b443-4280-8b33-b49ad5e88197,,605500.0,large,,selec-w|selec-w|selec-w|selec-w|selec-w|selec-w|selec-w|selec-w,,,,,,,,,,,,,,,,,,,,,,,,EUR,605500.0,605500.0,False,13.313811493501584,1,large,4.0,0,1,0,0,0,0,0,0,0,0
3871f9d2-9464-4841-9b6c-400b0fc27d9e,none,can-standard,258292-2025,False,32014L0024,CZE,CZK,bef014c2-5cd5-4254-bd8d-d58d4fb8b688,CZK,8410000.0,large,,selec-w,32014L0024|134/2016 Sb.,,,,,,,"['Směrnice Evropského parlamentu a Rady 2014/24/EU ze dne 26. února 2014 o zadávání veřejných zakázek a o zrušení směrnice 2004/18/ES', 'Zákon o zadávání veřejných zakázek']",,,,,,,,,,,,,,,,CZK,327990.0,327990.0,False,12.700741447965434,1,large,4.0,0,1,0,0,0,0,0,0,0,0
951efc36-2b13-4a83-bab5-367b5e8b8fe4,none,can-standard,258293-2025,,32014L0024,FRA,,cfea0436-7a82-4742-b003-f56df61b44bf,,1000000.0,,,selec-w,,,,,,,,,,,1000000.0,,,,,,,,,,,,,EUR,1000000.0,1000000.0,False,13.815511557963774,0,,,0,1,0,0,0,0,0,0,0,0
e0649688-958e-4dbf-a2ae-7c05486384ce,none,can-standard,258296-2025,,32014L0024,PRT,,a3fb19de-d6a4-4c2b-85df-9c55fd8c4187,,52430.0,,,selec-w,,,,,,,,,,,,,,,,,,,,,,,,EUR,52430.0,52430.0,False,10.867253298434472,0,,,0,1,0,0,0,0,0,0,0,0
e3cb21c0-e1f6-4e54-a69a-c57b28ae1e25,none|none,cn-standard,258297-2025,False,32014L0024,NLD,EUR,606dcac9-2439-41e1-b424-3988cb91d756,EUR,13000000.0,,,,,,,,,bankr-nat|bankruptcy|corruption|cred-arran|crime-org|distorsion|envir-law|finan-laund|fraud|human-traffic|insolvency|labour-law|liq-admin|misrepresent|partic-confl|prep-confl|sanction|socsec-law|socsec-pay|susp-act|tax-pay|terr-offence,,,,,,,,,,,,,,,,,,EUR,13000000.0,13000000.0,False,16.380459992348886,0,,,1,0,0,0,0,0,0,0,0,0
