notice-identifier,dps-usage-lot,notice-type,publication-number,procedure-accelerated,legal-basis,organisation-country-buyer,estimated-value-cur-lot,procedure-identifier,estimated-value-cur-proc,total-value,exclusion-grounds,winner-size,winner-selection-status,no-negocaition-necessary-lot,legal-basis-proc,winner-owner-nationality,framework-value-notice,direct-award-justification-text-proc.lit,direct-award-justification-proc,legal-basis-text.ces,accessibility-lot,legal-basis-text.pol,framework-buyer-categories-lot.hrv,direct-award-justification-text-proc.deu,direct-award-justification-text-proc.ces,legal-basis-text.deu,direct-award-justification-text-proc.spa,direct-award-justification-text-proc.fin,direct-award-justification-text-proc.ron,direct-award-justification-text-proc.nld,framework-buyer-categories-lot.fra,direct-award-justification-text-proc.bul,subcontracting-percentage,subcontracting-value,direct-award-justification-text-proc.ell,currency,total-value-eur,total-value-eur-capped,is_outlier,total-value-eur-log,bidder-count,primary-bidder-size,bidder-size-numeric,notice_is_cn-standard,notice_is_can-standard,notice_is_can-modif,notice_is_can-social,notice_is_veat,notice_is_pin-only,notice_is_pin-rtl,notice_is_cn-social
22834c18-bb6d-4eea-a0f5-da7976f2dbaf,none,can-standard,269892-2025,,32014L0025,LTU,EUR,d8ef2e37-e278-4bd7-8e8c-4b65b5d17c22,EUR,140570.0,,,selec-w,,,,,"['Vadovaujantis Pirkimų įstatymo 79 str. 1 d. 3 p. b papunkčio nuostatomis, neskelbiamų derybų vykdymo sąlyga privalo tenkinti du reikalavimus, t. y. egzistuoti techninės priežastys ir kartu yra vienintelis potencialus tiekėjas. Siemens AS yra PSSE sistemos kūrėjas, todėl niekas kitas negali suteikti PSSE sistemos palaikymo paslaugų, t.y. kitas tiekėjas objektyviai negali suteikti organizacijai reikalingų Siemens PSSE sistemos palaikymo paslaugų. Įvertinus šią informaciją yra pagrindas pirkimo procedūras vykdyti neskelbiamų derybų iš vieno tiekėjo – Siemens AS.']",exclusive,,,,,,,,,,,,,,,,,EUR,140570.0,140570.0,False,11.853467978193942,0,,,0,1,0,0,0,0,0,0
4e637e7d-16ca-481d-b812-1f193e7a0584,none,can-standard,269893-2025,,32014L0025,CZE,,e0ee693d-1eb6-47bb-8d82-477a1aec65a4,,10989768.99,,sme,selec-w,,134/2016 Sb.|32014L0025,,,,,"['Zákon o zadávání veřejných zakázek', 'Směrnice Evropského parlamentu a Rady 2014/25/EU ze dne 26. února 2014 o zadávání zakázek subjekty působícími v odvětví vodního hospodářství, energetiky, dopravy a poštovních služeb a o zrušení směrnice 2004/17/ES']",,,,,,,,,,,,,,,,EUR,10989768.99,10989768.99,False,16.2124753971344,1,sme,2.5,0,1,0,0,0,0,0,0
7cbb2aa9-946a-489e-9fed-d7b13b31a845,none,cn-standard,269894-2025,True,32014L0024,POL,,69ac0e4a-c82c-4276-94a7-ea919d143acd,,,exg-mis-prep-confl|exg-crim-corrpt|exg-crim-fraud|exg-mis-bre-lab-law|exg-pmt-bre-ssc|exg-pmt-bre-tax|exg-natl|exg-mis-distortion|exg-crim-traffick|exg-crim-laund|exg-crim-terror|exg-crim-part,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0
945b222e-c405-4c04-8963-51d3e81183d1,none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none,can-standard,269895-2025,,32014L0024,BGR,BGN,3b40212b-8597-4628-8996-ca8977443677,BGN,267985.16667,,,clos-nw|clos-nw|clos-nw|clos-nw|clos-nw|clos-nw|clos-nw|clos-nw|clos-nw|clos-nw|clos-nw|clos-nw|clos-nw|clos-nw|clos-nw|clos-nw|clos-nw|clos-nw|clos-nw|clos-nw|clos-nw|clos-nw,,,,,,,,n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc|n-inc,,,,,,,,,,,,,,,BGN,136672.4350017,136672.4350017,False,11.825349673188772,0,,,0,1,0,0,0,0,0,0
37367edc-cb6e-461a-a177-e85639f31176,,can-modif,269896-2025,,32014L0024,CZE,,33b78e69-0a64-4217-9df7-438a274f2bb4,,1790541.0,,,,,32014L0024,,,,,['Směrnice Evropského parlamentu a Rady 2014/24/EU ze dne 26. února 2014 o zadávání veřejných zakázek a o zrušení směrnice 2004/18/ES'],,,,,,,,,,,,,,,,EUR,1790541.0,1790541.0,False,14.39802892528039,0,,,0,0,1,0,0,0,0,0
5c73c3da-1278-42e4-9210-a75075764452,none,can-standard,269897-2025,,32014L0024,DEU,,1944dd85-dccd-42c3-8f89-a5a726d7be43,,0.0,,small,selec-w,,vgv,,,,,,,,,,,,,,,,,,,,,EUR,0.0,0.0,False,0.0,1,small,2.0,0,1,0,0,0,0,0,0
7bbaecd3-a5af-4e6c-9f54-85e6d6286028,none,cn-standard,269898-2025,False,32014L0024,DEU,EUR,bdc216e4-420a-480c-8bc8-08a05675dd89,EUR,1791314.22,exg-natl-bre-nat-law,,,,vgv,,,,,,,,,,,,,,,,,,,,,EUR,1791314.22,1791314.22,False,14.398460667789662,0,,,1,0,0,0,0,0,0,0
6dc45ccc-bab3-4c67-b992-1694c51ee23b,none,cn-standard,269899-2025,False,32014L0024,POL,,d1bb1335-042b-4286-9929-592121286213,,,exg-mis-prep-confl|exg-crim-corrpt|exg-crim-fraud|exg-mis-bre-lab-law|exg-pmt-bre-ssc|exg-pmt-bre-tax|exg-natl-bre-nat-law|exg-mis-distortion|exg-crim-traffick|exg-crim-laund|exg-crim-terror|exg-crim-part,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0
f9550ecc-b676-493f-88a0-631a9dbe5fde,none,cn-standard,269900-2025,False,32014L0024,FRA,,64c96f78-1ef6-4f66-99c1-cfaeed4a588e,,,misrepresent,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0
a9ddbd42-a1a0-4a8b-83fc-af106c10a617,none,cn-standard,269901-2025,False,32014L0024,DEU,,f27eaf78-7be5-4281-b209-a2b07903622a,,,exg-crim-part|exg-crim-terror|exg-crim-laund|exg-crim-fraud|exg-crim-corrpt|exg-crim-traffick|exg-pmt-bre-tax|exg-pmt-bre-ssc|exg-mis-bre-env-law|exg-mis-bre-soc-law|exg-mis-bre-lab-law|exg-sitn-insolvency|exg-sitn-liq-admin|exg-sitn-as-susp|exg-sitn-other|exg-mis-misconduct|exg-mis-distortion|exg-mis-partic-confl|exg-mis-prep-confl|exg-mis-sanction|exg-mis-misrepresent,,,,vgv,,,,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0
90a1a02c-6294-4a7a-aa27-03ee1ebc405e,none|none|none,pin-rtl,269902-2025,,32014L0024,ESP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,0,0,0,0,0,0,1,0
2ab4cfbe-d7d5-4563-a093-3d232175a15a,none|none,cn-standard,269903-2025,False,32014L0024,FRA,EUR,5ce55903-0bf0-4e85-a2f2-74fb46feb891,EUR,200000.0,nati-ground,,,False|False,,,,,,,,,,,,,,,,,,,,,,EUR,200000.0,200000.0,False,12.206077645517674,0,,,1,0,0,0,0,0,0,0
ba4387e5-08bb-4f8c-8ced-ed3fbc3278e3,,can-modif,269904-2025,,32014L0024,BGR,,21090922-53d2-41f4-b9d0-78d4104c5d47,,208333.33,,,,,,,,,,,n-inc,,,,,,,,,,,,,,,EUR,208333.33,208333.33,False,12.246899424038986,0,,,0,0,1,0,0,0,0,0
1d7d6fb6-1792-4737-80ee-afe110e0bb56,none,cn-standard,269905-2025,False,32014L0024,POL,,70e594f3-5eb0-4664-83ad-9b67d11ac35b,,,exg-mis-prep-confl|exg-crim-corrpt|exg-crim-fraud|exg-mis-bre-env-law|exg-mis-bre-lab-law|exg-pmt-bre-ssc|exg-pmt-bre-tax|exg-natl-bre-nat-law|exg-mis-distortion|exg-crim-traffick|exg-crim-laund|exg-crim-terror|exg-mis-sanction|exg-crim-part|exg-mis-misconduct|exg-mis-misrepresent,,,,Ustawa z dnia 11.09.2021 r. - Prawo Zamówień Publicznych,,,,,,,['art. 132 ustawy z dnia 11.09.2021 r. - Prawo Zamówień Publicznych - przetarg nieograniczony'],,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0
0527ef47-a850-47c6-a8ec-115aca0d993d,none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none,cn-standard,269906-2025,False,32014L0025,GRC,EUR,417817f7-b25c-4209-9930-bebc48f0d379,EUR,2579587.25,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,2579587.25,2579587.25,False,14.763140351138222,0,,,1,0,0,0,0,0,0,0
a291a41c-8a03-4fd2-8879-9c077174e7df,none,cn-standard,269907-2025,False,32014L0024,ESP,,b0befe37-9db4-407e-85b6-15a8a1ca9626,EUR,269000.0,exg-sitn-other,,,,,,,,,,,,,,,,,,,,,,,,,EUR,269000.0,269000.0,False,12.502470376049185,0,,,1,0,0,0,0,0,0,0
d7ef4091-30bf-4401-9a3d-64c38e84124c,none,cn-standard,269908-2025,False,32014L0024,CHE,,d0256f96-48a3-4b92-ba06-33744c624a19,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0
3b92b4d6-5cd9-497c-9c2b-33bb99ec1d9f,none,can-standard,269909-2025,,32014L0025,HRV,EUR,235a05ca-870b-4bc8-bb47-e048053c2193,EUR,18773.78,,small,selec-w,,,,,,,,n-inc,,['Naručitelji koji su navedeni u ovoj obavijesti'],,,,,,,,,,,,,EUR,18773.78,18773.78,False,9.840269758853962,1,small,2.0,0,1,0,0,0,0,0,0
8ca0b53a-2bc5-46d2-8d8b-2f1d0214043f,none|none|none|none,pin-rtl,269910-2025,,32014L0024,ESP,EUR,,EUR,584980.0,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,584980.0,584980.0,False,13.279334647054073,0,,,0,0,0,0,0,0,1,0
aaf4ef42-688c-4efd-9bfd-07f738dd9e02,none,can-standard,269911-2025,,32014L0024,CZE,CZK,e6c99587-1bbe-4dbe-9230-f72bebcf006b,CZK,647900.0,,sme,selec-w,,134/2016 Sb.|32014L0024,,,,,"['Zákon o zadávání veřejných zakázek', 'Směrnice Evropského parlamentu a Rady 2014/24/EU ze dne 26. února 2014 o zadávání veřejných zakázek a o zrušení směrnice 2004/18/ES']",,,,,,,,,,,,,,,,CZK,25268.1,25268.1,False,10.137337584393823,1,sme,2.5,0,1,0,0,0,0,0,0
6b9a6f92-281b-433a-b699-3a701902f86a,none|none,cn-standard,269912-2025,False,32014L0024,POL,PLN,72749f8f-117a-4c20-8419-a3adc6b39343,PLN,766467.94,exg-sitn-liq-admin|exg-mis-prep-confl|exg-sitn-as-susp|exg-sitn-other|exg-mis-partic-confl|exg-crim-corrpt|exg-crim-fraud|exg-mis-bre-env-law|exg-mis-bre-lab-law|exg-mis-bre-soc-law|exg-sitn-insolvency|exg-pmt-bre-ssc|exg-pmt-bre-tax|exg-natl-bre-nat-law|exg-crim-traffick|exg-crim-laund|exg-crim-terror|exg-mis-sanction|exg-crim-part|exg-sitn-cred-arran|exg-sitn-bankr|exg-mis-misconduct|exg-mis-misrepresent,,,,art. 132 ustawy Prawo zamówień publicznych,,,,,,,,,,,,,,,,,,,,,PLN,176287.6262,176287.6262,False,12.079877852408083,0,,,1,0,0,0,0,0,0,0
b0c78426-c486-427f-86b3-072c73f52fb4,none,cn-standard,269913-2025,False,32014L0024,NOR,,1648c78e-106e-40f5-bf2c-96b1814e4926,,,bankr-nat|bankruptcy|corruption|cred-arran|crime-org|distorsion|envir-law|finan-laund|fraud|human-traffic|insolvency|labour-law|liq-admin|misrepresent|nati-ground|partic-confl|prep-confl|prof-misconduct|sanction|socsec-law|socsec-pay|susp-act|tax-pay|terr-offence,,,,Anskaffelsesforskriften,,,,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0
c762f519-011e-462e-916e-057241e8904e,none,cn-standard,269914-2025,False,32014L0024,LTU,,f95dd5c6-4577-4abd-9859-3419967d07c3,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0
5c015ca4-c2d4-4e5d-a20c-a92d4c8e1b83,none,cn-standard,269915-2025,False,32014L0024,FRA,,ef2979b4-4cb0-486c-bbe9-38d28ddd2e4e,,,nati-ground,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0
23ab7667-34a2-4343-a5f6-8ff62a61d3d3,none,cn-standard,269916-2025,False,32014L0025,BEL,,ecd90202-267d-4276-872d-7c531b46cc69,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0
da1d7052-ee93-4954-b454-eb1b61938233,,can-modif,269917-2025,,32014L0024,CZE|CZE,,048c8b55-2232-46ff-a964-d9bb0606a9e0,,449535994.03,,,,,32014L0024,,,,,['Směrnice Evropského parlamentu a Rady 2014/24/EU ze dne 26. února 2014 o zadávání veřejných zakázek a o zrušení směrnice 2004/18/ES'],,,,,,,,,,,,,,,,EUR,449535994.03,23506828.500000007,True,19.923726486600916,0,,,0,0,1,0,0,0,0,0
a1a50bbf-1b5d-49ff-acec-3bdde24d6d89,none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none|none,can-standard,269918-2025,False,32014L0024,HUN,,9c7649d1-e35f-4636-a1cc-a40327ca6da5,,1373115254.0,,small|large|small|large|small|medium|large|micro|micro|micro|small,selec-w|selec-w|selec-w|selec-w|clos-nw|selec-w|clos-nw|selec-w|selec-w|selec-w|selec-w|selec-w|selec-w|selec-w|selec-w|clos-nw|selec-w|selec-w|selec-w|selec-w|selec-w|selec-w|selec-w|clos-nw|clos-nw|selec-w|selec-w|selec-w|selec-w|selec-w|selec-w|clos-nw|clos-nw|selec-w,,,HUN|HUN|HUN|HUN|HUN|HUN|HUN|HUN|HUN|HUN|HUN,,,,,,,,,,,,,,,,,,,,EUR,1373115254.0,23506828.500000007,True,21.04034790412758,11,small,2.0,0,1,0,0,0,0,0,0
d9a39e0b-88e4-4804-87c5-25ca2e8631fc,none|none|none,can-standard,269919-2025,False,32014L0025,HUN,,ea86b70c-c931-4033-a9a5-c7392be5fa25,,152792706.0,,large|medium,selec-w|selec-w|selec-w,,,HUN|HUN,,,,,,,,,,,,,,,,,,,,EUR,152792706.0,23506828.500000007,True,18.844592704500034,2,large,4.0,0,1,0,0,0,0,0,0
ff1d1243-0000-4502-bb09-a0c3a91f7945,none,can-standard,269920-2025,,32014L0024,NLD,,2dd11c65-c9e9-45e6-a987-2e387035f764,,1.0,,,selec-w,,,,,,,,,,,,,,,,,,,,,,,EUR,1.0,1.0,False,0.6931471805599453,0,,,0,1,0,0,0,0,0,0
483d6e2c-f623-41e6-bba6-7935f230e2f7,none,cn-standard,269921-2025,False,32014L0024,BGR,BGN,a7cfb5b1-8ae4-4b53-94df-797b98c78cc7,BGN,458333.33,exg-crim-part|exg-crim-corrpt|exg-crim-fraud|exg-crim-terror|exg-crim-laund|exg-crim-traffick|exg-pmt-bre-tax|exg-pmt-bre-ssc|exg-mis-bre-env-law|exg-mis-bre-soc-law|exg-mis-bre-lab-law|exg-mis-prep-confl|exg-mis-partic-confl|exg-mis-misrepresent|exg-natl-bre-nat-law|exg-sitn-bankr|exg-sitn-insolvency|exg-sitn-cred-arran|exg-sitn-other|exg-sitn-liq-admin|exg-sitn-as-susp|exg-mis-distortion|exg-mis-sanction,,,,,,,,,,n-inc,,,,,,,,,,,,,,,BGN,233749.9983,233749.9983,False,12.362011717943952,0,,,1,0,0,0,0,0,0,0
57493bfd-2ecd-4152-90d8-85b0b6894144,none,can-standard,269922-2025,,32014L0024,CZE,CZK,55d3cee6-5b2b-4184-a94e-90dedc031791,CZK,3982040.62,,sme,selec-w,,134/2016 Sb.|32014L0024,,,,,"['Zákon o zadávání veřejných zakázek', 'Směrnice Evropského parlamentu a Rady 2014/24/EU ze dne 26. února 2014 o zadávání veřejných zakázek a o zrušení směrnice 2004/18/ES']",,,,,,,,,,,,,,,,CZK,155299.58418,155299.58418,False,11.95311777075237,1,sme,2.5,0,1,0,0,0,0,0,0
88df29a6-705e-4f4a-9778-1b314499f5d9,none,can-standard,269923-2025,,32014L0024,CZE,CZK,c028eaca-52af-4f1c-a8d3-cdfe7b50c30f,CZK,11490134.0,,sme,selec-w,,134/2016 Sb.|32014L0024,,,,,"['Zákon o zadávání veřejných zakázek', 'Směrnice Evropského parlamentu a Rady 2014/24/EU ze dne 26. února 2014 o zadávání veřejných zakázek a o zrušení směrnice 2004/18/ES']",,,,,,,,,,,,,,,,CZK,448115.226,448115.226,False,13.012807910785906,1,sme,2.5,0,1,0,0,0,0,0,0
e71e63d3-4bef-4613-bb42-61b822f3c7fc,none|none,cn-standard,269924-2025,False,32014L0024,NLD,,2c84ac39-28fa-4079-abea-56e9927dc069,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0
4c975d05-7fc7-4605-bcbd-c4732d50bc88,none,cn-standard,269925-2025,False,32014L0024,FRA,,0bdab7c7-c7cb-4a98-8568-a2426e7a23dc,,,nati-ground,,,,,,,,,,,,,,,,,,,,,,,,,EUR,,,False,0.0,0,,,1,0,0,0,0,0,0,0
1867ab71-7523-472c-8c62-05b68ff1c33f,none,veat,269926-2025,,32014L0024,DEU,,3b69f639-01a7-416f-8a06-6238116bc94b,,,,,,,,,,,technical,,,,,"['Im Rahmen der Markterkundung der MITA Consulting GmbH wurde das Alleinstellungsmerkmal einer vorhandenen Schnittstelle zu Doozer bestätigt. Die Leo-Software verfügt über eine exklusive Schnittstelle zur Doozer-Plattform, die es ermöglicht, Handwerksaufträge digital zu verwalten und effizient abzuwickeln. Aufträge, die in Doozer erzeugt werden, können über die Schnittstelle direkt in Leo als Projekte angelegt werden. Für dTD ist die Nutzung der Doozer-Schnittstelle von sehr großer Bedeutung, da sämtliche Aufträge der Leerwohnungssanierung über Doozer abgewickelt werden (in Zahlen: rund 2.000 Aufträge p.a., für etwa 55 Handwerker, mit einem Auftragsvolumen von etwa 4,5 Mio. €). Durch die exklusive Schnittstelle zu Doozer ist darüber hinaus die Interoperabilität / Kompatibilität gegeben, da die vorhandenen Systeme, Organisationen und Komponenten nahtlos miteinander arbeiten können und Informationen austauschen, ohne dass besondere Anpassungen notwendig sind. Auch kann von einer Minimierung des Risikopotential in Bezug auf Datenverlust und eventuellen Ausfallzeiten ausgegangen werden. Des Weiteren reduziert sich die Implementierungsdauer auf ein Minimum. Eine umfassende Marktrecherche hat ergeben, dass keine anderen Softwarelösungen mit vergleichbaren Funktionen und der spezifischen Doozer-Schnittstelle verfügbar sind.']",,,,,,,,,,,,EUR,,,False,0.0,0,,,0,0,0,0,1,0,0,0
43a0d492-adb2-418f-9311-48f808c4daff,none|none|none,can-standard,269928-2025,False,32014L0025,AUT,EUR,6b78e270-d5a1-4be6-b06c-9f6731d7cd9a,EUR,736000.0,,,selec-w|selec-w|selec-w,,,,,,,,,,,,,,,,,,,,,,,EUR,736000.0,736000.0,False,13.508986756405742,0,,,0,1,0,0,0,0,0,0
eff3e3c1-46d8-4e17-9f4c-d09e62bbbb91,none,can-standard,269929-2025,,32014L0025,LTU,EUR,4fe690c2-fcc2-4b12-8aa3-d02b8f364a30,EUR,182710.0,,,selec-w,,,,,"['Užsakovui būtina išlaikyti EVKS sistemai įdiegimo metu suteiktą Saugos vientisumo SIL2 lygį, dėl šios priežasties paslaugas gali suteikti tik tiekėjas, kuris paslaugų suteikimo metu užtikrintu nenutrūkstamą EVKS atitikimą CENELEC EN 50126, 50128 ir 50129 (SIL 2) standartų reikalavimams.']",technical,,,,,,,,,,,,,,,,,EUR,182710.0,182710.0,False,12.115660948544912,0,,,0,1,0,0,0,0,0,0
